LabelSeiteOrganisation;LabelSeiteSeite;LabelSeiteDatum;LabelSeiteSeiten;t1;T2;T21;T31;T22;T32;T23;T33;T24;T34;T25;T35;T16;T26;T36;T17;T27;T37;T18;T28;T38;T19;T29;T39;T20;T30;T40;TH1;TH11;TH21;TH31;TH2;TH12;TH22;TH32;TH3;TH13;TH23;TH33;TH4;TH14;TH24;TH34;TH5;TH15;TH25;TH35;TH6;TH16;TH26;TH36;TH7;TH17;TH27;TH37;TH8;TH18;TH28;TH38;TH9;TH19;TH29;TH39;TH10;TH20;TH30;TH40;T3;T4;T5;T6;T7;T8;T9;T10;t11;t12;T13;T14;T15
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0061 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0061-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0062 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg
Masse: 1,85 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0062 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg
Masse: 1,85 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
;;;;1/2024/0062 0;RFT Fernmeldewerk (VEB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Kunststoff; Bakelit ?";;"Objektmaß LxBxH: 185 x 240 x 190 mm
Masse: 1,60 kg
Masse: 1,85 kg";;;RZ 6.KTD SR 05.F 15.B 07;;Der Tischapparat W 38 (Wählapparat 38) wurde im Jahr 1938 maßgeblich von der Firma Siemens & Halske entwickelt, Siemens & Halske war bis 1945 auch der alleinige Hersteller. Dieser Fernsprecher wurde von der Deutschen Reichspost ab 1940 als Nachfolger des ;;;"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0062-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve";Herstellungsjahr, 1950er Jahre;
